Churn in 1 months;Churn in 2 months;Churn in 3 months
{'AUC_scores': [0.5321478074596775, 0.564351290490213, 0.5977812421264801, 0.5641653543307087, 0.5389558870199936, 0.5104880170845527, 0.5528752129203205, 0.5502142137096774, 0.5194173228346457, 0.5289284355983772]};{'AUC_scores': [0.5220383190327613, 0.5203578654835328, 0.5461149184206033, 0.5470909569566935, 0.5403401194684871, 0.543513431610229, 0.548740819491451, 0.5451153158609372, 0.5426905973904395, 0.5425988582126299]};{'AUC_scores': [0.5402768653448001, 0.5439724965799307, 0.5459314286662353, 0.5275664334620065, 0.53602445102991, 0.5435605101831651, 0.5555850666489599, 0.533340246467043, 0.5362144376561789, 0.5490788818845389]}
{'AUC_scores': [0.5561160151324085, 0.5746929133858267, 0.5804518865395835, 0.5503208615171152, 0.5282015682438508, 0.5816555872111429, 0.5752985404688191, 0.5936292065695848, 0.5290448588709677, 0.564961870548938]};{'AUC_scores': [0.5621007149336272, 0.5567895396286022, 0.5564258966707623, 0.546824715726239, 0.5705387410677268, 0.5582955155418924, 0.5901571808847763, 0.5645945483018499, 0.5410721078350095, 0.556519672370923]};{'AUC_scores': [0.581434046153591, 0.5520247133149289, 0.5726595550541665, 0.5623491612806814, 0.5650794072232735, 0.5739126539605012, 0.5560988572947116, 0.5427971001970644, 0.5706927234789245, 0.5683016052561911]}
{'AUC_scores': [0.4902900378310214, 0.49619675456389456, 0.5134139968009123, 0.4988498140795361, 0.5035064218737688, 0.5063054093775187, 0.4775522416263798, 0.5030923118186266, 0.5069128787878787, 0.48339780532091253]};{'AUC_scores': [0.5211463414634147, 0.5149986105626491, 0.5117152649463478, 0.5098379319255578, 0.49800725432553783, 0.489175388456999, 0.49963760865639445, 0.49973063759665365, 0.5065946014471555, 0.5075760899770377]};{'AUC_scores': [0.515591263616901, 0.5042319598403434, 0.509416074747743, 0.5088794284116822, 0.5123237958255563, 0.5132118585214765, 0.5184168680618261, 0.5144970976744032, 0.5162401954481163, 0.4970920275999667]}
{'AUC_scores': [0.605892184223389, 0.594301285282258, 0.58275561886673, 0.6052408791770493, 0.5935742718139887, 0.5648241841639261, 0.5771437578814628, 0.6297267501378061, 0.5868188976377953, 0.5885784923546918]};{'AUC_scores': [0.5675485937431443, 0.5485785516692931, 0.6041899277909693, 0.5692580332200647, 0.5437780941330187, 0.5955639394989483, 0.5705576739287317, 0.5972727361369775, 0.5637392317555345, 0.5645632443311156]};{'AUC_scores': [0.5582415922947485, 0.5598205780930032, 0.5678547701302152, 0.5574039527894894, 0.5911295011707833, 0.5726674380699988, 0.5713635115551194, 0.5586224315437778, 0.5492265886287626, 0.5757913897065412]}
{'AUC_scores': [0.5106728209329069, 0.4999606224798387, 0.5192431853613214, 0.5249137510042692, 0.5134539807302232, 0.5219323123463792, 0.5139944245320589, 0.5120161902352643, 0.5344574895595304, 0.5267418032786885]};{'AUC_scores': [0.5090430883746373, 0.5204051287051483, 0.5068503503186266, 0.5079640616225982, 0.5166785299882016, 0.5124561839712557, 0.5003547326948957, 0.5207873032595389, 0.522019512195122, 0.519555625975039]};{'AUC_scores': [0.5106545614413458, 0.5225052861842215, 0.5092414258744994, 0.5206598609482701, 0.5099406976242546, 0.5162324028985218, 0.5126633888657077, 0.5285923936127851, 0.5201459306646846, 0.5148770243960304]}
{'AUC_scores': [0.585086945564516, 0.5831338205645161, 0.606821724957876, 0.5868572328529805, 0.5855736672178912, 0.578860725594291, 0.5982352010129788, 0.6102231390642961, 0.585551330798479, 0.5962622857862904]};{'AUC_scores': [0.5749219512195123, 0.5784978816967877, 0.5796622935954251, 0.586059379875195, 0.587608475892347, 0.5868447096563458, 0.6136744331417353, 0.5939613102637982, 0.5863853658536586, 0.5659186758001998]};{'AUC_scores': [0.5809814205456465, 0.6017806033681303, 0.5828943906906261, 0.5893523821689228, 0.590058593037183, 0.5772382439108552, 0.5869286581804667, 0.5902278217243576, 0.573722662266957, 0.6035330911021518]}
{'AUC_scores': [0.5522152895947565, 0.5429271058060249, 0.5334331651954602, 0.5323700787401575, 0.5437121033152217, 0.5374627970332111, 0.5457027540360873, 0.5631221648185484, 0.521819730842655, 0.5224837713493414]};{'AUC_scores': [0.5256286149014406, 0.5611502261337245, 0.5693316753224588, 0.5563006603525131, 0.5405471945553557, 0.5452998770635757, 0.5518518518518518, 0.5625542921282515, 0.5550335635952074, 0.5305489871041662]};{'AUC_scores': [0.5561628833134209, 0.5767026377802107, 0.556935702744221, 0.5596834403464238, 0.549722299418882, 0.5619066385135836, 0.554013050990437, 0.5731646420113558, 0.5593153688590892, 0.5442483968603262]}
{'AUC_scores': [0.6350551181102362, 0.5904990221437133, 0.5948661417322835, 0.6064139941690962, 0.6291811023622048, 0.6312362204724409, 0.6026948231029863, 0.6038191983620758, 0.6606692913385828, 0.5962295960168904]};{'AUC_scores': [0.6055655497540451, 0.6085378756850585, 0.5996068040211784, 0.6026487321869958, 0.5804788590882265, 0.5938859146139294, 0.5797972729134764, 0.576436117570776, 0.6126608918738324, 0.5839009453971009]};{'AUC_scores': [0.6093841277217207, 0.575291480862133, 0.5940058677199919, 0.6051250891716575, 0.5925667032163743, 0.6084542703996004, 0.6075476237886632, 0.6128241193179224, 0.5845515622873494, 0.6084187746712642]}
{'AUC_scores': [0.5645179124281292, 0.5340199356507476, 0.51439660476784, 0.5644891914035419, 0.5742809865258844, 0.568992125984252, 0.5612331679659814, 0.5451059138514844, 0.5384403134509563, 0.5348754728877679]};{'AUC_scores': [0.5510665009019551, 0.5571224070741212, 0.5248860173107399, 0.5539661644970991, 0.5573067824305539, 0.5370650695449959, 0.5363342443023766, 0.5726135752359529, 0.5678333699071026, 0.5558590379243269]};{'AUC_scores': [0.5421326455098445, 0.5365946346012791, 0.5517674085090563, 0.5524449624234783, 0.5556645387976655, 0.5533219317182245, 0.5515240928275642, 0.5694557763722028, 0.5601550674663042, 0.5425791774778156]}
{'AUC_scores': [0.5622320302648172, 0.56012224515194, 0.6015467489919354, 0.5580011052340728, 0.5784770784770785, 0.5721850130013395, 0.5679324228309782, 0.5379842519685039, 0.5508462523111933, 0.5132034324183379]};{'AUC_scores': [0.5668907124607493, 0.5723524390243903, 0.5510521054299856, 0.5440892512336408, 0.5223879869338404, 0.5817849394212721, 0.5413596212971549, 0.5700105792247426, 0.5558592873655154, 0.5509886626843837]};{'AUC_scores': [0.5810797471304986, 0.5818682182210067, 0.570677314237171, 0.567997200972189, 0.5652612806901127, 0.561889715574587, 0.5435236386274581, 0.5581098959434967, 0.5754294373531571, 0.5635486972079531]}
{'AUC_scores': [0.6018372122438654, 0.6221804511278195, 0.6491887800955489, 0.5781732526627592, 0.5714544909518325, 0.5782465329820299, 0.614265447667087, 0.618241484309673, 0.5998282896705998, 0.6094655454774502]};{'AUC_scores': [0.5726559376736837, 0.569646899270187, 0.5927944396652851, 0.5972331359907072, 0.5882877744138768, 0.5820696046630734, 0.5564049425197465, 0.5825312012671161, 0.5669682706143453, 0.5731230696417158]};{'AUC_scores': [0.599034181504119, 0.5678833092101769, 0.577699900464499, 0.5864829078407232, 0.6033693589706328, 0.5837810238975853, 0.5713195305791432, 0.5834013815446611, 0.6025733588820521, 0.5950043195108985]}
{'AUC_scores': [0.5787358133669609, 0.5553114764424288, 0.5753841304861713, 0.5711696090794451, 0.6170908517847293, 0.5999055118110236, 0.5837204541517724, 0.6020802143251124, 0.5908990675403226, 0.5613070866141733]};{'AUC_scores': [0.5649968309687483, 0.5524406782968427, 0.5520901060329783, 0.56222393400743, 0.5815024536638773, 0.5606150725937771, 0.5673052546388838, 0.5414264040120204, 0.5609279662876958, 0.5755441460417763]};{'AUC_scores': [0.5765103755748191, 0.5572482512145266, 0.5585735934631881, 0.5689291639017916, 0.5671029786400968, 0.5739010852250099, 0.5775630384621769, 0.5665182455898784, 0.5581854337930227, 0.5831305791952272]}
{'AUC_scores': [0.6014666267584555, 0.6223293628285121, 0.5951517254431897, 0.6140430333079074, 0.6150958934482048, 0.5270966217812426, 0.5926544766708701, 0.592015748031496, 0.5810516686644376, 0.6132566204287515]};{'AUC_scores': [0.5633427487023377, 0.5601907177523595, 0.5864177067082684, 0.5561308313710578, 0.5398766414838183, 0.5677080793203343, 0.5795265547800555, 0.5669495331117262, 0.5655779115230857, 0.5734079585011262]};{'AUC_scores': [0.5849438226483122, 0.5721522717086369, 0.5754132102848979, 0.5880720662418693, 0.5655915423888719, 0.5746339594095574, 0.5766632327032757, 0.5774185252626645, 0.5855038984737889, 0.5656681721793209]}
{'AUC_scores': [0.5087612768910478, 0.5352453517347134, 0.527059908713561, 0.5158910150405543, 0.5186870841827462, 0.525296118951613, 0.5161193794786991, 0.5074604525115018, 0.5171082812623586, 0.5117834244395784]};{'AUC_scores': [0.5185954845283423, 0.5125634146341462, 0.5086212361331219, 0.5176645670212663, 0.51528485409912, 0.5104396247391314, 0.507761151093168, 0.5156766522620182, 0.5079520293403302, 0.5074854314485651]};{'AUC_scores': [0.520007398934454, 0.525958225587139, 0.528705494746132, 0.5231055828465214, 0.5158607149379866, 0.519060338105745, 0.5218072414150846, 0.5109783965593752, 0.526534733843334, 0.5222735837456841]}
{'AUC_scores': [0.5822950923349354, 0.5771573202562682, 0.5806100561478772, 0.6035118110236221, 0.5807307662020631, 0.5847020807061791, 0.5866715049776754, 0.5690601201456885, 0.5893445595446447, 0.5951606536670089]};{'AUC_scores': [0.581456769530164, 0.5520159696225762, 0.5424790644302839, 0.5821778557847009, 0.5792207792207791, 0.5871469732204233, 0.5830927990872701, 0.5812434385605117, 0.5772939202699934, 0.5768035553994458]};{'AUC_scores': [0.5777417578042048, 0.5831057110317945, 0.5649384761062226, 0.5779722672728104, 0.5648333344399001, 0.5668550132343049, 0.568625678119349, 0.5733048109535228, 0.5608379897077044, 0.5787766123462692]}
{'AUC_scores': [0.6173190965869662, 0.6137371219412144, 0.5827045164542606, 0.5882181186868687, 0.5936766489705256, 0.5877787408399654, 0.5494693247669438, 0.5963620580808081, 0.5903536571906091, 0.6135077180202765]};{'AUC_scores': [0.5786755267486298, 0.5807034540653719, 0.5861914634146341, 0.5953081540038062, 0.6050821295149287, 0.5927604732908536, 0.577093107181523, 0.5827050067790989, 0.588607409648254, 0.5758732666315605]};{'AUC_scores': [0.5850108664996598, 0.5845281087737985, 0.5880609519385502, 0.5494641993598096, 0.5864114579315368, 0.5886926255243574, 0.5893679245674368, 0.5847199836082301, 0.5880701803870556, 0.5896420869276708]}
{'AUC_scores': [0.6515920554854981, 0.6162091876377591, 0.6298993748326851, 0.643740157480315, 0.6256949366091817, 0.6557807272092987, 0.5996532156368222, 0.6408423981785984, 0.587320989212037, 0.6325585060278938]};{'AUC_scores': [0.6283832551425479, 0.6111135490414058, 0.6042894612395731, 0.6124255443804315, 0.6151501338260602, 0.6218639390777811, 0.6360046825842012, 0.619761291363372, 0.6070876452056531, 0.6086321934945788]};{'AUC_scores': [0.6247544595455511, 0.5898469220592322, 0.6042331834398845, 0.6271721998241335, 0.6132722228862858, 0.5915140429833217, 0.604865454485127, 0.5997631255807779, 0.6024697246184472, 0.6345307516403862]}
{'AUC_scores': [0.6061574803149605, 0.6213240528355612, 0.6317364797807149, 0.6103594380040323, 0.5552586643055907, 0.5913245607123159, 0.5686975418484166, 0.5749350342546657, 0.6080608305098101, 0.6428255512731409]};{'AUC_scores': [0.6052314045154716, 0.6037263734710095, 0.6051033251375717, 0.5720334222378538, 0.6041109331979457, 0.5798259567014232, 0.587123982253425, 0.578522663545705, 0.5993154024692321, 0.6145036670018886]};{'AUC_scores': [0.5757053396854207, 0.5941319776238254, 0.5808240710019907, 0.5921733554116116, 0.5969736540816428, 0.5983422210571026, 0.5936278360289415, 0.5928041616885703, 0.5817754644990046, 0.6006708900818408]}
{'AUC_scores': [0.6161565242048552, 0.6271314021298176, 0.6108906213087644, 0.6499140147989209, 0.636592861082657, 0.6169193363844394, 0.6497345578852849, 0.6324907473029372, 0.654985395121181, 0.5892688382056452]};{'AUC_scores': [0.5983240291557983, 0.5980114260602065, 0.575094839187845, 0.5820117442047767, 0.6121664161677087, 0.5921274053118064, 0.604653290012879, 0.5897506216176686, 0.6269508564735737, 0.6080975552616295]};{'AUC_scores': [0.6153389355742297, 0.6271480342640341, 0.6048947249677339, 0.5994667266664896, 0.5997928145254041, 0.6111094520801346, 0.6074021464646464, 0.5922427466022511, 0.6218853557075372, 0.5951676102874032]}
{'AUC_scores': [0.5678188976377951, 0.5502449629011169, 0.5501512096774194, 0.5153461191264274, 0.5240146134828276, 0.5490111102356001, 0.5770375620127569, 0.5169890266045629, 0.5496768600252206, 0.5726200226814516]};{'AUC_scores': [0.5486083348771903, 0.548074532344639, 0.5418572111118696, 0.5502671643975992, 0.5367938559063757, 0.5273177355031835, 0.5760980903836305, 0.5267576408553851, 0.5258344758940029, 0.531935353180356]};{'AUC_scores': [0.5601030368583628, 0.5636809204084952, 0.5643563001286578, 0.5801861374201974, 0.5543382059574693, 0.5680633939502524, 0.5638051573553513, 0.5559391835566669, 0.5700194684167486, 0.5650502150890016]}
{'AUC_scores': [0.6058527663465935, 0.6233700707945067, 0.5904719108209955, 0.6350787401574803, 0.6069375541381212, 0.6135411416330645, 0.6321088543319582, 0.6179225202213708, 0.6061997071004519, 0.5849817081861806]};{'AUC_scores': [0.5766818561036655, 0.6001084810219156, 0.6187463414634147, 0.593329235452523, 0.6119301838038125, 0.592331048947638, 0.5960116907132994, 0.6002231544033363, 0.6247617236823503, 0.6353339805919977]};{'AUC_scores': [0.6085039001715346, 0.6123644100368325, 0.6167817127348615, 0.5912670232817436, 0.5952468844438287, 0.5962653260995803, 0.6028829404250378, 0.582729731074871, 0.5948841106299669, 0.6069377710552976]}
{'AUC_scores': [0.5958291330645162, 0.623629662298387, 0.6160112182517176, 0.5483520463600144, 0.5814650616095799, 0.5705618154597746, 0.5761607213477814, 0.5791353857800771, 0.6245058666036696, 0.6082033534031828]};{'AUC_scores': [0.55990137681867, 0.5636316877443763, 0.5821931501238518, 0.558929206948162, 0.5931772514899387, 0.5698537671801585, 0.607496194824962, 0.5935842575469994, 0.5933166578901174, 0.5754149985352992]};{'AUC_scores': [0.5970263645751683, 0.5937725137364918, 0.5905206021214262, 0.5833011857681277, 0.5826577502148167, 0.571619537744199, 0.597288115908365, 0.5908605607104489, 0.5923716636191374, 0.5973619861911539]}
{'AUC_scores': [0.5543190416141235, 0.5558080808080809, 0.5989281000015904, 0.6014835858585859, 0.6009546009546008, 0.5471469104665826, 0.5788461538461539, 0.5677612410426017, 0.5941261738198778, 0.5786299212598425]};{'AUC_scores': [0.5381987274810462, 0.5498296111037981, 0.5463795332048874, 0.5815075810794991, 0.5630658300791247, 0.5718551634700703, 0.5717908082408875, 0.5643295406287981, 0.5937349162624022, 0.5715354351847783]};{'AUC_scores': [0.5650024926940423, 0.5599917211607298, 0.5621288515406163, 0.574052508120411, 0.5483578459852925, 0.5587414908136048, 0.5593035845401408, 0.5659483262732424, 0.5741324515400955, 0.5549604637679236]}
{'AUC_scores': [0.626317863052557, 0.622771653543307, 0.6211674342312788, 0.5836107473612798, 0.5799000362644465, 0.6226632018269156, 0.612167929074217, 0.6172032828282829, 0.6211311353925232, 0.5869419642857143]};{'AUC_scores': [0.5950422691771405, 0.59129395431147, 0.5791392423577593, 0.5991614255765199, 0.5899080555081336, 0.5875201288244768, 0.6102029573365446, 0.5891637455696017, 0.5770196479937595, 0.5826649569232419]};{'AUC_scores': [0.5920130582137162, 0.5899419769369537, 0.5800141618720234, 0.5741935109196681, 0.5904678707192776, 0.5713044625498791, 0.5913049071480444, 0.5904478221054308, 0.5931916235231647, 0.5820806069494585]}
{'AUC_scores': [0.5311402610900272, 0.5718065003779289, 0.5968974500671036, 0.5927637795275591, 0.5899613899613899, 0.6154962687155862, 0.5687645687645687, 0.5995149835440845, 0.5996690568119138, 0.5448460508701471]};{'AUC_scores': [0.5803996704352108, 0.5781448817515686, 0.58058398863653, 0.5848658003163384, 0.5656736553971964, 0.5537229971187176, 0.565637112698374, 0.5804868238219448, 0.567556296914095, 0.5477143094135615]};{'AUC_scores': [0.5533934478445373, 0.581475122242544, 0.6020959367842837, 0.5612580185701499, 0.5826335093104493, 0.5692214217875821, 0.578188884983869, 0.5729588704726827, 0.5973570573031582, 0.5763385862059807]}
{'AUC_scores': [0.5911482537532098, 0.6317758628837883, 0.5939053058391051, 0.6657001024347964, 0.6277966849435936, 0.6522653849184462, 0.6490278565576353, 0.6107954545454546, 0.6659987693861129, 0.624023622047244]};{'AUC_scores': [0.5843138976700621, 0.6063418736744595, 0.5956657350911335, 0.6200900083864802, 0.6024252171745071, 0.6122812149578276, 0.6199297971918877, 0.6057091675138813, 0.6268745673137864, 0.6179750886728108]};{'AUC_scores': [0.6102216784546006, 0.6063830669781518, 0.6103492812964536, 0.6147474822889187, 0.6127387776879736, 0.6052902461476088, 0.6156919705848176, 0.6184120746673042, 0.6260804555068484, 0.6129151542668558]}
{'AUC_scores': [0.5562566962878931, 0.5907007874015748, 0.5807747444036611, 0.6306037200504414, 0.6205989382315411, 0.5809455361091805, 0.6110716932343155, 0.5633120718166784, 0.6093255436751019, 0.5687960494138807]};{'AUC_scores': [0.598608536585366, 0.5945970360604507, 0.6064296686416502, 0.6227883874491598, 0.6122799233540874, 0.5836172268887055, 0.60214431802096, 0.5915857273808827, 0.5957835884665154, 0.6100848775588805]};{'AUC_scores': [0.587127887295898, 0.5805718537714759, 0.5964744642519434, 0.5810296500969738, 0.569208353569694, 0.5817908724144024, 0.579488267397555, 0.5955073112367453, 0.5907384505569296, 0.589541746332602]}
{'AUC_scores': [0.6462563051702396, 0.6521574803149606, 0.6227264853628962, 0.6457715601539336, 0.6596299212598425, 0.5778021043346774, 0.6245665195460277, 0.6395968708598827, 0.6258948466315839, 0.622119851956847]};{'AUC_scores': [0.6222988573074238, 0.6144232741694425, 0.6167877960149257, 0.6183465154745815, 0.611682072043509, 0.5752608229329174, 0.6201070653366827, 0.6181917928461707, 0.6082174203652295, 0.5893758196541485]};{'AUC_scores': [0.607381228100446, 0.6127578174771714, 0.5963838827522747, 0.6166725282600689, 0.5924879727936297, 0.6271428488424695, 0.6024126816126238, 0.6151484304936455, 0.6142620449892313, 0.6325472793629727]}
{'AUC_scores': [0.5872122438654187, 0.6268434486670449, 0.6482592563353596, 0.5900926451124977, 0.6531282132405284, 0.6355216733870968, 0.5831251581077663, 0.6157886447751791, 0.5909040785141544, 0.586381937317439]};{'AUC_scores': [0.6022333292697793, 0.6005611045541889, 0.6069219512195122, 0.6064629735389302, 0.5864153141865374, 0.5921073803904742, 0.6096410828941531, 0.596875, 0.6132269560596532, 0.5955934760110133]};{'AUC_scores': [0.5923336721780803, 0.6071836106687337, 0.5915901652265176, 0.6012267750497677, 0.5776489968720424, 0.5809747377763769, 0.6012367337289886, 0.6079940889071536, 0.5876661119912846, 0.6121030601958825]}
{'AUC_scores': [0.6173871958421924, 0.575919943266882, 0.6326652801411736, 0.613923751633781, 0.584904469652746, 0.6035718787420432, 0.6319711690114189, 0.6413002334237587, 0.6198061160151324, 0.5675868407707911]};{'AUC_scores': [0.5803600642675405, 0.5862693845275228, 0.5868577446042991, 0.6059550167273011, 0.607359861507327, 0.6107944711245461, 0.5606656580937973, 0.5783040898609086, 0.5705583323174448, 0.5849168008588298]};{'AUC_scores': [0.5982608342155129, 0.5682636335943252, 0.5792113389527951, 0.5886037941179643, 0.5849943969946989, 0.5898208360982083, 0.5875978353868638, 0.5881437653761814, 0.5952476358058336, 0.6019545043935288]}
{'AUC_scores': [0.647577439909154, 0.6157355606335198, 0.6210238725119677, 0.5420296717171718, 0.5986505681818182, 0.6588267716535434, 0.6941181102362205, 0.6239395378284267, 0.6743107690366539, 0.6050056721497448]};{'AUC_scores': [0.5982768292682927, 0.5926977934901865, 0.5896385630319733, 0.6024595960088562, 0.5778599783471671, 0.605104775293239, 0.5794735120834493, 0.6267174399719064, 0.6298877232001328, 0.580682408142075]};{'AUC_scores': [0.6154051296514425, 0.6096956700278323, 0.6155901023491617, 0.612427845212159, 0.614061436563138, 0.6386623421869038, 0.6025234838719317, 0.6090017156870878, 0.6118095370812762, 0.597177512000219]}
