uid;death
1143;11/05/2016
1140;17/07/2007
1146;19/06/2010
1147;30/04/2007
3040;03/09/2013
2717;14/06/2014
1774;14/12/2009
3124;27/11/2016
933;6/4/2015
2464;30/5/2011
2998;30/11/2015
1090;28/08/2009
1098;15/02/2007
1403;29/07/2006
4037;26/02/2014
1069;10/04/2012
1552;10/04/2014
1554;18/02/2017
3247;03/07/2014
929;23/12/2008
2413;19/02/2013
4487;12/10/2016
3844;03/11/2012
926;27/06/2016
1821;09/09/2009
987;22/12/2009
2777;10/05/2011
1923;23/12/2008
3672;02/06/2012
4800;30/12/2015
1711;15/11/2009
1527;11/04/2009
2389;27/07/2014
940;09/11/2009
917;01/03/2016
1131;27/04/2008
2287;02/07/2013
3263;25/10/2012
2830;07/04/2012
902;05/03/2015
904;26/07/2014
905;28/02/2015
1745;02/01/2008
2672;23/12/2015
1004;22/11/2007
3808;28/12/2012
1870;02/05/2013
3211;08/04/2014
2208;18/02/2009
3458;10/05/2011
1737;01/01/2010
2114;08/12/2011
1034;18/06/2006
1609;16/03/2008
1215;17/04/2008
4278;06/09/2014
1354;09/07/2009
2333;17/04/2015
2184;07/12/2011
1911;20/12/2011
1912;13/06/2011
966;12/03/2005
962;03/05/2007
968;16/10/2009
1748;11/12/2007
1452;31/03/2007
1101;23/12/2006
2103;05/01/2012
1514;27/02/2010
1204;10/02/2006
2636;13/07/2011
4456;14/06/2013
1814;20/04/2010
951;08/10/2004
1617;19/04/2007
1564;09/02/2012
2877;29/11/2013
1179;04/03/2016
2332;08/10/2010
2089;01/11/2009
1047;21/10/2016
2126;26/04/2016
3224;10/06/2012
2080;28/10/2008
1683;09/03/2012
3199;12/04/2014
1845;02/01/2018
5572;18/01/2018